name,alternate_code,item_code,raw_product,ranch,item_designation,packaging_type,yield,case_weight,labor
GREEN BEANS  (50 X 2oz),,GB50,Green Beans 10#,No,Snakpak,SNAKPAK 50CT,9.5,6.25,0.25
"GUAVA, WEDGES  (50 X 2oz)",,GAV,Guava,No,Snakpak,SNAKPAK 50CT,10,6.25,0.27
"HONEYDEW, CUBED, (50 X 2.7oz)",,HO50,Honeydews,No,Snakpak,SNAKPAK 50CT,16,8.44,0.27
"JICAMA, STICKS (50 X 2oz)",,JSP,Jicama,No,Snakpak,SNAKPAK 50CT,18,6.25,0.25
"JICAMA, STICKS (50 X 2oz) W/ LIGHT RANCH",,JSPW,Jicama,Yes,Snakpak,SNAKPAK 50CT,18,6.25,0.4
"KIWI, WEDGED SNAKPAK (50 X 2oz)",,KI50,"Kiwi, Bulk",No,Snakpak,SNAKPAK 50CT,18.25,6.25,0.25
"KIWI, GOLDEN WEDGED SNAKPAK (50 X 2oz)",,KI50,Golden Kiwi ,No,Snakpak,SNAKPAK 50CT,18.25,6.25,0.25
"KUMQUAT WHOLE, (50 X 2oz)",,KUM,"Kumquat, Bulk 10#",No,Snakpak,SNAKPAK 50CT,9,6.25,0.25
"MANGO, CHUNKS (50x2oz)",,MANG,Mangoes,No,Snakpak,SNAKPAK 50CT,4.5,6.25,0.25
ORANGE WEDGE SNAKPAK (50 X 4.7oz.),,OW,"Oranges, 113 ct",No,Snakpak,SNAKPAK 50CT,33,14.7,0.25
"PAPAYA, CHUNKS SNAKPAK (50/2oz)",,PAPSP,"Papaya, 9ct",No,Snakpak,SNAKPAK 50CT,20,6.25,0.25
"PEARS, WEDGED (100 X 2oz)",,PE100,"Pears, Green",No,Snakpak,APPLE SNACK PACK 100CT,32,12.5,0.25
"PEARS, WEDGED (50 X 2oz)",,PE50,"Pears, Green",No,Snakpak,APPLE SNACK PACK 50CT,32,6.25,0.27
"PEPPER STICK, RED, YELLOW, (50 X 2oz)",,PSTK100,Pepper Red & Yellow ,No,Snakpak,SNAKPAK 50CT,15,6.25,0.3
"PEPPER STICKS, SNAKPAK (50 X 2oz)",,PSTK,"Peppers, Green",No,Snakpak,SNAKPAK 50CT,18,12.5,0.35
PINEAPPLE  (50 X 2.3oz),,PS,Pineapples,No,Snakpak,SNAKPAK 50CT,8.5,7.18,0.25
PINEAPPLE PINK (50 X 2.3oz),,PS,Pink Pineapples,No,Snakpak,SNAKPAK 50CT,8.5,7.18,0.25
"RADISH, MATCHSTICKS, SNAKPAK (50 X 2oz)",,R,"Radishes, 40#",No,Snakpak,SNAKPAK 50CT,39,6.25,0.27
"RADISH, MATCHSTICKS, SNAKPAK (50 X 2oz) W/ LIGHT RANCH",,RAD5,"Radishes, 40#",Yes,Snakpak,SNAKPAK 50CT,39,6.25,0.25
"SQUASH, HALFMOON (50 X 2 oz) W/ LIGHT RANCH",,SQ50W,"Squash, Yellow Full",Yes,Snakpak,SNAKPAK 50CT,35,6.25,0.3
"SQUASH, HALF-MOON (50 X 2oz)",,SQ50,"Squash, Yellow Full",No,Snakpak,SNAKPAK 50CT,35,6.25,0.25
"STRAWBERRIES, TRIMMED (50 X 2oz)",,STR50,Strawberries ,No,Snakpak,SNAKPAK 50CT,8,6.25,0.25
"STRAWBERRIES, WHITE, TRIMMED (50 X 2oz)",,STRW50,"Strawberries, White",No,Snakpak,SNAKPAK 50CT,3.75,6.25,0.25
"SUGAR SNAPS, SNAKPAK  (50 X 2oz)",,S5,Sugar Snaps,No,Snakpak,SNAKPAK 50CT,9,6.25,0.25
"SUGAR SNAPS, SNAKPAK  (50 X 4oz)",,S5,Sugar Snaps,No,Snakpak,SNAKPAK 50CT,9,12.5,0.25
"SUGAR SNAPS, SNAKPAK (50 X 2oz) W/ LIGHT RANCH",,S5W,Sugar Snaps,Yes,Snakpak,SNAKPAK 50CT,9,6.25,0.25
"SWEET POTATO STICKS, SNAKPAK (100 X 2oz)",,SW100,"Potatoes, Sweet JBO",No,Snakpak,SNAKPAK 100CT,38,12.5,0.3
"SWEET POTATO STICKS, SNAKPAK (50 X 2oz)",,SW50,"Potatoes, Sweet JBO",No,Snakpak,SNAKPAK 50CT,38,6.25,0.25
"SWEET POTATO STICKS, SNAKPAK (50 X 2oz) W/ LIGHT RANCH",,SW5W,"Potatoes, Sweet JBO",Yes,Snakpak,SNAKPAK 50CT,38,6.25,0.5
"SWEET WHITE POTATO STICKS, SNAKPAK (50 X 2oz)",,SWW50,"Potatoes, Sweet WHITE",No,Snakpak,SNAKPAK 50CT,38,6.25,0.25
"SWEET WHITE POTATO STICKS, SNAKPAK (50 X 2oz) W/ LIGHT RANCH",,SWW5W,"Potatoes, Sweet WHITE",Yes,Snakpak,SNAKPAK 50CT,38,6.25,0.25
TANGERINE WEDGE SNAKPAK (50 X 3.5oz),,TANG,"Tangerine, 140ct",No,Snakpak,SNAKPAK 50CT,38,10.94,0.25
TURNIP STICKS (50 X 2oz),,TS,"Turnips, Cut 25#",No,Snakpak,SNAKPAK 50CT,20,6.25,0.27
TURNIP STICKS SNAKPAK (50 X 2oz) W/ LIGHT RANCH,,TSW,"Turnips, Cut 25#",Yes,Snakpak,SNAKPAK 50CT,20,6.25,0.4
UGLY FRUIT  WEDGE SNAKPAK (50 X 3.5oz),,UF,Ugly Fruit 30#,No,Snakpak,SNAKPAK 50CT,23,11,0.25
WATERMELON RADISH STICKS (50 X 2oz),,WR,Watermelon Radish 20#,No,Snakpak,SNAKPAK 50CT,15,6.25,0.25
"WATERMELON, SNAKPAK, (50 X 2oz)",,W50,"Watermelon, (IND)",No,Snakpak,SNAKPAK 50CT,7,6.25,0.25
"ZUCHHINI, SLICED W/ RANCH (50 X 2oz)",,Z50W,"Squash, Zuke 1/2",Yes,Snakpak,SNAKPAK 50CT,17,6.25,0.3
"ZUCHHINI, SLICED (50 X 2oz)",,Z50,"Squash, Zuke 1/2",No,Snakpak,SNAKPAK 50CT,17,6.25,0.3
BUTTERNUT STICKS 50/2OZ,,TS,"Squash, Butternut",No,Snakpak,SNAKPAK 50CT,30,6.25,0.27
DAIKON COIIN CUT 50/2OZ,,TS,Daikon Root ,No,Snakpak,SNAKPAK 50CT,9,6.25,0.25
MINI SWEET PEPPER,,PSTK,Mini Sweet Pepper,No,Snakpak,SNAKPAK 50CT,5,6.25,0.35
HEIRLOOM GRAPE TOMATO ,,GT,Grape Tomato Multicolor,No,Snakpak,SNAKPAK 50CT,9,6.25,0.25
"GRAPES, WHITE  (5# CASE)",,GPL,"Grapes, White SL",No,Foodservice,1/5 FRUIT TRAY,18,5,0.25
GRAPE FRUIT 5#,,OSL,Grape Fruit ,No,Foodservice,1/5 FRUIT TRAY,20,5,0.25
LEMONS WEDGES 50/2.3OZ,,LW50,"Lemons, 140",NO,Snakpak,SNAKPAK 50CT,38,7.1,0.25
PARSNIP COIN CUT 50/2OZ,,PAS50,"Parsnips, 25#",No,Snakpak,SNAKPAK 50CT,18,6.25,0.25
BROCCOLI FLORETS (4X3# CASE),,BROF,Broccoli Crowns,No,Foodservice,2/4 SMALL COLLARD,10,4,0.25
CELERY STICKS (4X5# CASE),,CELST,Celery 30 ct,No,Foodservice,2/4 SMALL COLLARD,32,4,0.25
CARROT STICKS (20# CASE),,CARST,"Carrots,50#",No,Foodservice,2/4 SMALL COLLARD,32,4,0.25
CAULIFLOWER FLORETS (4X3# CASE),,CFL,Cauliflower,No,Foodservice,2/4 SMALL COLLARD,16,4,0.25
APPLE RED CUP (4# CASE),,GW,"Apples, Gala",No,Foodservice,8ct FRUIT CUPS,29,4,0.2
APPLE GREEN CUPS (4#CS),,GRW,"Apples, Granny",No,Foodservice,8ct FRUIT CUPS,29,4,0.2
BLUEBERRIES CUPS  (4# CASE),,BB,Blueberries 1 Pint,No,Foodservice,8ct FRUIT CUPS,9,4,0.2
CANTALOUPE CUPS (4# CASE),,CANC,Canteloupes,No,Foodservice,8ct FRUIT CUPS,18,4,0.2
RED GRAPES CUPS (4# CASE),,GPL,"Grapes, Red SL",No,Foodservice,8ct FRUIT CUPS,18,4,0.2
WHITE GRAPES CUPS (4# CASE),,GPLW,"Grapes, White SL",No,Foodservice,8ct FRUIT CUPS,18,4,0.2
HONEYDEW CUPS (4# CASE),,HON,Honeydews,No,Foodservice,8ct FRUIT CUPS,15,4,0.2
KIWI CUPS (4# CASE),,KI,"Kiwi, Bulk",No,Foodservice,8ct FRUIT CUPS,19,4,0.2
MANGO CUPS (4# CASE),,MANG,Mangoes,No,Foodservice,8ct FRUIT CUPS,6,4,0.2
ORANGES CUPS (4# CASE),,OSL,"Oranges, 113 ct",No,Foodservice,8ct FRUIT CUPS,40,4,0.2
PEARS CUPS (4# CASE),,PE50,"Pears, Green",No,Foodservice,8ct FRUIT CUPS,29,4,0.2
PINEAPPLES CUPS (4# CASE),,PINC,Pineapples,No,Foodservice,8ct FRUIT CUPS,8.5,4,0.2
STRAWBERIES CUPS (4# CASE),,STR,Strawberries ,No,Foodservice,8ct FRUIT CUPS,7.5,4,0.2
WATERMELON CUPS (4# CASE),,WAC,"Watermelon, (IND)",No,Foodservice,8ct FRUIT CUPS,8,4,0.2
FRUIT MIX (4# CASE),,FM,Fruit Mix ,No,Foodservice,8ct FRUIT CUPS,4,4,0.2
TROPICAL MIX (4#CASE),,TMS,Tropical Mix,No,Foodservice,8ct FRUIT CUPS,3,4,0.2
APPLE RED CUP (6# CASE),,FM,"Apples, Gala",No,Foodservice,8ct FRUIT CUPS,29,6,0.2
APPLE GREEN CUPS (6#CS),,FM,"Apples, Granny",No,Foodservice,8ct FRUIT CUPS,29,6,0.2
BLUEBERRIES CUPS  (6# CASE),,FM,Blueberries 1 Pint,No,Foodservice,8ct FRUIT CUPS,9,6,0.2
CANTALOUPE CUPS (6# CASE),,FM,Canteloupes,No,Foodservice,8ct FRUIT CUPS,18,6,0.2
RED GRAPES CUPS (6# CASE),,FM,"Grapes, Red SL",No,Foodservice,8ct FRUIT CUPS,18,6,0.2
WHITE GRAPES CUPS (6# CASE),,FM,"Grapes, White SL",No,Foodservice,8ct FRUIT CUPS,18,6,0.2
HONEYDEW CUPS (6# CASE),,FM,Honeydews,No,Foodservice,8ct FRUIT CUPS,15,6,0.2
KIWI CUPS (6# CASE),,FM,"Kiwi, Bulk",No,Foodservice,8ct FRUIT CUPS,19,6,0.2
MANGO CUPS (6# CASE),,FM,Mangoes,No,Foodservice,8ct FRUIT CUPS,6,6,0.2
ORANGES CUPS (6# CASE),,FM,"Oranges, 113 ct",No,Foodservice,8ct FRUIT CUPS,40,6,0.2
PEARS CUPS (6# CASE),,FM,"Pears, Green",No,Foodservice,8ct FRUIT CUPS,29,6,0.2
PINEAPPLES CUPS (6# CASE),,FM,Pineapples,No,Foodservice,8ct FRUIT CUPS,8.5,6,0.2
STRAWBERIES CUPS (6# CASE),,FM,Strawberries ,No,Foodservice,8ct FRUIT CUPS,7.5,6,0.2
WATERMELON CUPS (6# CASE),,FM,"Watermelon, (IND)",No,Foodservice,8ct FRUIT CUPS,8,6,0.2
FRUIT MIX (6# CASE),,FM,Fruit Mix ,No,Foodservice,8ct FRUIT CUPS,4,6,0.2
TROPICAL MIX (6#CASE),,TMS,Tropical Mix,No,Foodservice,8ct FRUIT CUPS,3,6,0.2
APPLE RED CUP (3# CASE),,FM,"Apples, Gala",No,Foodservice,8ct FRUIT CUPS,29,3,0.2
APPLE GREEN CUPS (3#CS),,FM,"Apples, Granny",No,Foodservice,8ct FRUIT CUPS,29,3,0.2
BLUEBERRIES CUPS  (3# CASE),,FM,Blueberries 1 Pint,No,Foodservice,8ct FRUIT CUPS,9,3,0.2
CANTALOUPE CUPS (3# CASE),,FM,Canteloupes,No,Foodservice,8ct FRUIT CUPS,18,3,0.2
RED GRAPES CUPS (3# CASE),,FM,"Grapes, Red SL",No,Foodservice,8ct FRUIT CUPS,18,3,0.2
WHITE GRAPES CUPS (3# CASE),,FM,"Grapes, White SL",No,Foodservice,8ct FRUIT CUPS,18,3,0.2
HONEYDEW CUPS (3# CASE),,FM,Honeydews,No,Foodservice,8ct FRUIT CUPS,15,3,0.2
KIWI CUPS (3# CASE),,FM,"Kiwi, Bulk",No,Foodservice,8ct FRUIT CUPS,19,3,0.2
MANGO CUPS (3# CASE),,FM,Mangoes,No,Foodservice,8ct FRUIT CUPS,6,3,0.2
ORANGES CUPS (3# CASE),,FM,"Oranges, 113 ct",No,Foodservice,8ct FRUIT CUPS,40,3,0.2
PEARS CUPS (3# CASE),,FM,"Pears, Green",No,Foodservice,8ct FRUIT CUPS,29,3,0.2
PINEAPPLES CUPS (3# CASE),,FM,Pineapples,No,Foodservice,8ct FRUIT CUPS,8.5,3,0.2
STRAWBERIES CUPS (3# CASE),,FM,Strawberries ,No,Foodservice,8ct FRUIT CUPS,7.5,3,0.2
WATERMELON CUPS (3# CASE),,FM,"Watermelon, (IND)",No,Foodservice,8ct FRUIT CUPS,8,3,0.2
FRUIT MIX (3# CASE),,FM,Fruit Mix ,No,Foodservice,8ct FRUIT CUPS,4,3,0.2
TROPICAL MIX (3#CASE),,TMS,Tropical Mix,No,Foodservice,8ct FRUIT CUPS,3,3,0.2
